id,title,number,year,region_name,region_type,region_code,category,subject,status,source,detail_url,pdf_url,pdf_path,description,enacted_date,published_date,metadata,scraped_at,updated_at
561,Rencana Pembangunan Jangka Menengah Daerah Tahun 2025 – 2029,4,2025,Kabupaten Majene,Kabupaten,,,,"Program, Rencana Pembangunan dan Rencana Kerja",bpk,https://peraturan.bpk.go.id/Details/328967/perda-kab-majene-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/390865/Perda%20Majene%20Nomor%204%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Majene\Rencana_Pembangunan_Jangka_Menengah_Daerah_Tahun_2025_2029.pdf,,,,,2025-10-01 08:09:08,2025-10-01T15:09:08.917293
562,"PERUBAHAN BENTUK HUKUM PERSEROAN TERBATAS
UNCAK KAPUAS MANDIRI MENJADI PERUSAHAAN
PERSEROAN DAERAH UNCAK KAPUAS MANDIRI",4,2025,Kabupaten Kapuas Hulu,Kabupaten,,,,"Pembentukan, Perubahan, dan Pembubaran Komisi / Komite / Badan / Dewan / Staf Khusus / Tim / Panitia",bpk,https://peraturan.bpk.go.id/Details/325092/perda-kab-kapuas-hulu-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/390557/2025perda004.pdf,docs\bpk\2025\Kabupaten_Kapuas_Hulu\PERUBAHAN_BENTUK_HUKUM_PERSEROAN_TERBATAS_UNCAK_KAPUAS_MANDIRI_MENJADI_PERUSAHAAN_PERSEROAN_DAERAH.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.017794
563,Pertanggungjawaban Pelaksanaan Anggaran Pendapatan dan Belanja Daerah Kota Bengkulu Tahun Anggaran 2024,4,2025,Kota Bengkulu,Kota,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/328675/perda-kota-bengkulu-no-4-tahun-2025,https://peraturan.bpk.go.id/Download/390551/893449PERDA%204%202025.pdf,docs\bpk\2025\Kota_Bengkulu\Pertanggungjawaban_Pelaksanaan_Anggaran_Pendapatan_dan_Belanja_Daerah_Kota_Bengkulu_Tahun_Anggaran_2.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.036526
564,Pengelolaan Barang Milik Daerah,3,2025,Provinsi Jawa Tengah,Provinsi,,,,Pengelolaan Barang Milik Negara / Daerah,bpk,https://peraturan.bpk.go.id/Details/321977/perda-prov-jawa-tengah-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/383744/perda_3_th_2025_edit.pdf,docs\bpk\2025\Provinsi_Jawa_Tengah\Pengelolaan_Barang_Milik_Daerah.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.059815
565,Perubahan Ketiga atas Peraturan Daerah Kabupaten Tegal Nomor 12 Tahun 2016 tentang Pembentukan dan Susunan Perangkat Daerah,3,2025,Kabupaten Tegal,Kabupaten,,,,"Administrasi dan Tata Usaha Negara, Struktur Organisasi",bpk,https://peraturan.bpk.go.id/Details/322044/perda-kab-tegal-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/383817/1752480484_2025pd332803.pdf,docs\bpk\2025\Kabupaten_Tegal\Perubahan_Ketiga_atas_Peraturan_Daerah_Kabupaten_Tegal_Nomor_12_Tahun_2016_tentang_Pembentukan_dan_S.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.080792
566,Perubahan Kedua Atas Peraturan Bupati Banjar Nomor 42 Tahun 2023 tentang Pemberian Tambahan Penghasilan Pegawai Aparatur Sipil Negara.,3,2025,Kabupaten Banjar,Kabupaten,,,,"Honorarium, Gaji, Penghasilan, Uang Kehormatan, Tunjangan, Penghargaan, Hak Lainnya",bpk,https://peraturan.bpk.go.id/Details/316431/perda-kab-banjar-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/377693/Perbup%20Kab.%20Banjar%20Thn%202025%20No%203%20.pdf,docs\bpk\2025\Kabupaten_Banjar\Perubahan_Kedua_Atas_Peraturan_Bupati_Banjar_Nomor_42_Tahun_2023_tentang_Pemberian_Tambahan_Penghasi.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.104752
567,Pencegahan Dan Pemberantasan Penyalahgunaan Dan Peredaran Gelap Narkotika Dan Prekursor Narkotika,3,2025,Kabupaten Pasangkayu,Kabupaten,,,,Narkotika,bpk,https://peraturan.bpk.go.id/Details/321709/perda-kab-pasangkayu-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/383457/Perda%20Pasangkayu%20Nomor%203%20Tahun%202025.pdf,docs\bpk\2025\Kabupaten_Pasangkayu\Pencegahan_Dan_Pemberantasan_Penyalahgunaan_Dan_Peredaran_Gelap_Narkotika_Dan_Prekursor_Narkotika.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.125148
568,Perjalanan Dinas,3,2025,,,,,,APBD,bpk,https://peraturan.bpk.go.id/Details/322063/perda-prov-nad-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/385022/Peraturan%20Gubernur%20Aceh%20Nomor%203%20Tahun%202025%20tentang%20Perjalanan%20Dinas%20(1).pdf,docs\bpk\2025\unknown_region\Perjalanan_Dinas.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.149659
569,Perubahan Atas Peraturan Daerah Kabupaten Buton Nomor 3 Tahun 2018 tentang Tata Cara Pengangkatan dan Pemberhentian Perangkat Desa Serta Susunan Organisasi dan Tata Kerja Pemerintahan Desa,3,2025,Kabupaten Buton,Kabupaten,,,,Desa,bpk,https://peraturan.bpk.go.id/Details/323275/perda-kab-buton-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/385100/PERDA%20NO%203%20TAHUN%202025.pdf,docs\bpk\2025\Kabupaten_Buton\Perubahan_Atas_Peraturan_Daerah_Kabupaten_Buton_Nomor_3_Tahun_2018_tentang_Tata_Cara_Pengangkatan_da.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.169636
570,Perubahan Kedua atas Peraturan Daerah Kabupaten Muna Nomor 6 Tahun 2016 tentang Pembentukan dan Susunan Perangkat Daerah Kabupaten Muna,3,2025,Kabupaten Muna,Kabupaten,,,,Struktur Organisasi,bpk,https://peraturan.bpk.go.id/Details/322341/perda-kab-muna-no-3-tahun-2025,https://peraturan.bpk.go.id/Download/384137/PERDA%20MUNA%20NOMOR%203%20TAHUN%202025.pdf,docs\bpk\2025\Kabupaten_Muna\Perubahan_Kedua_atas_Peraturan_Daerah_Kabupaten_Muna_Nomor_6_Tahun_2016_tentang_Pembentukan_dan_Susu.pdf,,,,,2025-10-01 08:09:09,2025-10-01T15:09:09.194651
